case_id,complaining_id,defending_id,is_melodic_comparison,case_won
2,0,1,True,True
4,2,3,True,True
5,4,5,False,False
6,6,7,True,False
8,8,9,True,False
10,10,11,True,True
11,12,13,True,True
14,14,15,True,True
15,16,17,True,False
16,18,19,True,True
17,20,21,True,True
19,22,23,True,False
21,24,25,True,True
22,26,27,True,False
24,28,29,True,False
25,30,31,True,False
26,32,33,True,False
27,34,35,True,False
28,36,37,True,False
31,38,39,True,False
32,30,40,True,False
33,41,42,True,False
34,43,44,True,False
36,45,46,True,False
37,47,48,True,False
38,49,50,True,False
39,51,52,True,False
40,53,54,True,True
41,55,56,False,True
42,57,58,False,False
43,59,60,True,False
44,61,62,True,True
45,63,64,True,False
48,65,66,True,True
51,67,68,True,True
52,69,70,True,True
53,71,72,True,True
54,73,74,True,False
55,75,76,False,False
56,77,78,True,True
57,79,80,True,False
58,81,82,False,False
59,83,84,True,False
62,85,86,True,False
63,87,88,False,False
64,89,90,True,False
65,91,92,True,True
66,93,94,True,False
67,95,96,True,True
68,97,98,True,False
69,99,100,True,True
71,101,102,True,False
73,103,104,True,False
74,105,106,True,False
75,107,108,True,False
75,107,109,True,False
76,110,111,True,False
77,112,113,False,False
78,114,115,True,True
80,116,117,True,False
81,118,119,False,False
82,120,121,True,False
83,122,123,True,False
84,124,125,True,True
85,126,127,False,False
86,128,129,True,False
87,130,131,False,False
88,132,133,True,True
89,134,135,True,True
90,136,137,True,False
90,138,137,True,False
91,139,140,True,False
92,141,142,True,False
93,143,144,True,True
95,145,146,True,False
96,147,148,False,False
97,149,150,True,True
98,151,152,True,True
99,153,154,True,False
100,155,156,True,False
101,157,158,False,False
102,159,160,True,False
103,161,160,True,True
104,162,163,True,False
105,164,165,True,False
106,166,167,True,False
107,168,169,True,True
110,170,171,True,True
111,172,173,True,True
113,174,175,True,False
114,176,177,True,False
116,178,179,True,False
118,180,181,True,False
119,182,183,True,False
120,184,185,True,False
120,186,185,True,False
121,187,188,True,False
122,189,190,True,False
123,191,192,True,False
124,193,194,False,False
125,195,196,False,True
126,197,198,True,False
129,179,199,True,True
130,200,201,True,True
131,202,203,False,False
133,204,205,True,False
135,206,207,True,True
136,208,209,False,False
137,210,211,True,False
138,212,213,True,True
140,214,215,False,False
141,216,217,True,False
142,218,219,True,False
143,220,221,True,False
144,222,223,True,True
145,224,225,True,False
146,226,227,True,False
147,228,229,True,False
148,230,231,False,False
148,230,232,False,False
149,233,234,False,False
150,235,236,True,True
151,237,238,True,True
152,239,240,True,False
153,241,242,True,True
154,243,244,True,False
155,245,246,True,False
156,247,248,True,True
157,249,250,False,False
158,251,252,True,False
159,253,254,True,False
160,255,256,False,False
161,257,258,False,False
162,259,260,True,False
163,261,262,True,True
164,263,264,True,False
166,265,266,True,False
167,267,268,True,True
168,269,270,False,False
169,271,272,False,False
170,273,257,False,False
171,274,275,True,False
172,276,277,True,False
173,278,279,False,False
174,280,281,True,False
175,282,283,True,True
176,284,285,True,True
176,284,286,True,True
178,287,288,True,False
179,289,290,False,False
180,291,292,True,True
181,293,294,True,False
182,295,296,True,False
183,222,223,False,False
184,297,298,False,False
185,299,300,True,True
186,301,302,False,False
187,303,304,False,False
187,305,306,False,False
188,307,308,False,False
189,309,310,False,False
191,311,312,False,False
193,313,314,False,False
194,315,316,True,False
195,317,318,True,True
196,319,320,True,False
197,321,322,False,False
200,323,324,True,False
202,325,326,True,False
204,327,328,False,False
204,329,330,False,False
205,331,332,False,False
206,333,334,False,False
207,335,336,False,False
208,337,338,True,False
209,339,340,False,False
210,341,342,False,False
211,343,344,True,False
211,343,344,True,False
212,345,346,True,False
213,347,348,False,False
214,349,350,False,False
216,351,352,True,False
216,353,354,False,False
217,355,356,False,False
218,357,358,True,False
219,359,360,False,False
221,361,362,False,False
221,363,364,False,False
221,363,365,False,False
222,366,367,False,False
224,368,369,True,True
225,370,371,True,False
226,372,373,True,True
227,374,375,True,False
228,376,377,False,False
229,378,379,False,False
230,380,381,False,False
232,382,383,False,False
235,384,385,False,False
236,386,387,False,False
237,388,389,True,False
238,390,391,True,True
239,392,393,False,False
240,394,395,True,False
241,396,397,False,False
242,398,399,True,False
243,400,401,True,False
244,366,402,True,False
245,403,404,True,False
246,405,406,True,False
247,407,408,True,True
249,409,410,True,False
250,411,412,False,False
251,413,414,True,False
252,415,416,True,True
253,417,418,True,False
254,419,420,False,False
255,421,422,False,False
256,423,424,True,False
257,425,426,True,False
258,427,428,True,False
259,429,430,False,True
260,431,432,False,False
260,433,432,False,False
263,434,435,False,False
264,436,437,False,False
265,438,439,True,False
266,440,441,False,False
266,440,442,False,False
266,440,443,False,False
267,444,445,False,True
268,446,447,False,False
269,380,381,True,False
270,448,449,True,True
271,450,451,False,False
272,452,453,False,False
273,454,455,False,False
274,456,457,True,False
275,458,459,False,True
276,460,461,True,False
277,462,463,True,False
278,464,465,True,False
279,466,467,False,False
280,468,469,False,False
281,470,471,False,False
282,472,473,True,True
283,317,474,True,True
284,475,476,True,True
285,477,478,False,False
286,479,480,True,False
287,481,482,True,False
288,483,484,False,False
291,485,486,False,False
291,485,487,False,False
292,488,489,False,False
294,490,369,True,False
295,491,430,False,False
296,492,493,False,False
299,494,495,False,False
300,496,497,False,False
301,498,499,False,False
301,500,499,True,False
301,501,502,True,False
302,503,504,False,False
303,505,506,False,False
303,505,507,False,False
304,508,509,False,True
305,510,511,False,False
306,512,513,False,False
307,514,515,False,False
308,516,517,True,True
309,518,519,False,False
310,520,521,False,False
311,522,523,False,False
312,524,525,True,False
314,526,527,False,True
316,270,528,False,False
318,529,530,True,False
319,531,532,True,False
320,524,525,True,False
321,533,534,False,False
322,535,536,False,False
323,537,538,False,False
324,539,540,True,False
326,541,542,False,False
327,543,544,False,False
328,545,546,False,False
329,547,548,False,False
330,549,550,True,False
331,551,552,False,False
332,553,554,False,False
333,555,552,False,False
334,556,557,False,False
335,558,559,False,False
336,560,561,False,False
337,562,563,False,False
338,564,565,False,False
339,566,567,False,False
340,568,569,False,False
342,570,571,True,False
343,572,573,False,False
345,574,575,False,False
346,576,577,False,False
